layer,original,predicted
0,bfd_nonfatal.cold,print_error_message_0010274b
0,usage,display_section_sizes_0010281b
0,sysv_internal_sizer.cold,initialize_registers_001026ea
0,list_matching_formats,print_matching_formats_0010278c
0,rprint_number.cold,print_formatted_value_00102710
0,size_number.cold,format_and_print_001026f6
0,print_sizes.cold,print_ex_string_0010259c
0,rprint_number,format_and_print_00102e90
0,bfd_nonfatal,print_bfd_error_message_00103d20
0,size_number,format_and_print_number_00102e50
0,sysv_internal_sizer,update_params_00103c50
0,berkeley_or_gnu_sum,update_data_00102d70
0,report,print_formatted_message_00102ee0
0,FUN_00102020,execute_arbitrary_code_00102020
1,sysv_one_line,print_formatted_strings_00102fe0
1,non_fatal,print_formatted_message_00102f40
1,fatal,format_and_print_value_00102db0
2,display_file.cold,print_error_message_00102360
2,sysv_internal_printer,process_function_00103cc0
3,print_sizes,calculate_section_sizes_00102a90
4,display_bfd,process_binary_file_00102a40
4,display_bfd.cold,handle_bfd_errors_001024d2
5,FUN_001023b6,open_next_archived_file_001023b6
6,display_file,check_file_00102980
7,main,process_files_00103130
