layer,original,predicted
0,FUN_00103510,print_formatted_output_00103510
0,usage,print_strings_usage_001030c0
0,unget_part_char.cold,update_and_add_values_001027e2
0,display_utf8_char,parse_and_display_unicode_0010293a
0,FUN_0010282b,initialize_data_0010282b
0,is_valid_utf8,check_and_return_offset_001028b2
0,print_filename_and_address.part.0,print_formatted_value_0010286f
0,get_unicode_byte,read_byte_from_file_0010290e
0,get_char.cold,reverse_bit_pattern_00102771
0,FUN_001034fa,print_formatted_output_001034fa
0,report,print_error_message_001038b0
0,FUN_00102020,execute_code_00102020
1,non_fatal,print_error_message_00103910
1,fatal,handle_error_and_exit_00104a60
1,get_char,read_and_convert_data_00103520
1,print_filename_and_address.cold,print_message_with_value_00102853
1,unget_part_char,update_data_00103810
1,print_filename_and_address,print_if_needed_00103890
2,print_unicode_stream_body,parse_and_display_00102b11
2,FUN_001034d5,process_data_001034d5
3,print_strings.cold,process_data_00102330
3,print_strings,print_formatted_data_00103240
3,FUN_0010259a,print_formatted_data_0010259a
4,main,improved_get_strings_00103aa0
