layer,original,predicted
0,elf_machine,get_machine_type_00104d30
0,FUN_00102558,read_elf_header_error_00102558
0,elf_x86_feature.cold,update_x86_feature_001022c0
0,elf_x86_feature,identify_x86_feature_00104c60
0,adjust_relative_path,extract_file_name_00102cc4
0,elf_type,get_file_type_00104da0
0,byte_put_big_endian,write_data_to_memory_0010354e
0,process_archive_index_and_symbols.constprop.0,extract_archive_header_001028be
0,elf_machine.cold,get_machine_type_0010234b
0,release_archive,cleanup_memory_00102f65
0,xexit.constprop.0,exit_with_error_00102fbc
0,byte_put_little_endian.cold,handle_unhandled_data_length_00102c98
0,startswith,compare_strings_001027fd
0,elf_type.cold,get_status_001023ce
0,consume_whitespace,skip_to_non_control_char_00102fa0
0,elf_osabi,find_osaabi_00104ce0
0,FUN_001024ec,update_elf_header_001024ec
0,byte_get_big_endian,convert_data_0010347f
0,byte_get_little_endian,get_value_from_pointer_00103a90
0,elf_osabi.cold,handle_unknown_osabi_00102323
0,byte_put_little_endian,write_data_00103ad0
0,FUN_00102020,execute_indirect_call_00102020
1,process_object,parse_elf_header_00104de0
1,process_object.cold,validate_elf_header_00102434
1,setup_archive.constprop.0,extract_and_compare_headers_001025ab
2,concat.constprop.0,create_string_from_params_00103186
2,xmalloc_failed,format_error_message_00102fc7
2,reconcat,reformatted_reverse_string_00103006
2,xstrdup,copy_string_00103160
3,usage,print_usage_and_exit_001032de
3,xmalloc,extract_thin_archive_member_name_00105370
3,xrealloc,allocate_memory_00103449
3,xmalloc.cold,extract_path_component_00102cbc
4,get_archive_member_name,extract_archive_member_001029a5
5,process_archive,process_archive_file_0010358d
6,main,process_binary_00103bf0
