layer,original,predicted
0,FUN_00102020,execute_indirect_jump_00102020
0,get_char.cold,reverse_bits_00102771
0,unget_part_char.cold,calculate_sum_and_update_result_001027e2
0,FUN_0010282b,initialize_pointer_and_data_0010282b
0,print_filename_and_address.part.0,print_formatted_value_0010286f
0,is_valid_utf8,check_byte_sequence_001028b2
0,get_unicode_byte,read_byte_from_file_0010290e
0,display_utf8_char,display_unicode_character_0010293a
0,usage,print_strings_usage_info_001030c0
0,FUN_001034fa,print_formatted_output_001034fa
0,FUN_00103510,print_formatted_input_00103510
0,report,print_error_message_001038b0
1,print_filename_and_address.cold,print_formatted_value_with_message_00102853
1,get_char,read_data_and_convert_to_unsigned_long_00103520
1,unget_part_char,update_data_and_pointer_00103810
1,print_filename_and_address,print_if_not_empty_00103890
1,non_fatal,print_error_message_with_params_00103910
1,fatal,print_and_exit_on_error_00104a60
2,print_unicode_stream_body,process_file_data_00102b11
2,FUN_001034d5,process_input_data_001034d5
3,print_strings.cold,process_and_print_data_00102330
3,FUN_0010259a,print_formatted_input_and_output_0010259a
3,print_strings,print_formatted_unicode_data_00103240
4,main,extract_strings_from_file_00103aa0
