layer,original,predicted
0,FUN_00104020,execute_indirect_jump_00104020
0,display_info.isra.0.cold,print_binary_info_00104943
0,list_supported_targets,print_supported_targets_00104a35
0,find_section_list.cold,check_and_set_flags_00104bba
0,add_specific_symbols.cold,process_lines_00104c36
0,FUN_00104d1c,process_lines_00104d1c
0,FUN_001052a2,extract_and_copy_archive_001052a2
0,set_long_section_mode.cold,execute_function_0010540e
0,delete_symbol_htabs,cleanup_hash_table_001054af
0,make_tempdir.cold,free_memory_001081e9
0,simple_copy.cold,close_and_set_errno_00108237
0,group_signature.isra.0.cold,get_default_value_001082c3
0,get_sections,update_pointer_0010870e
0,bfd_nonfatal.cold,print_error_message_0010871c
0,compare_section_lma,compare_records_0010875d
0,compare_gnu_build_notes.cold,check_rax_value_001087da
0,sort_gnu_build_notes.cold,initialize_001087fd
0,htab_hash_redefnode,hash_string_00108800
0,free_saved_stabs,free_memory_blocks_00108863
0,eq_string_redefnode,compare_strings_00108898
0,save_stab,update_data_entry_001088ae
0,stab_context,print_last_stabs_entries_00108b3e
0,stab_demangle_count,extract_integer_from_string_00108e76
0,stab_demangle_get_count,parse_number_00108ea1
0,stab_end_function.lto_priv.0,get_one_00108f05
0,debug_start_source,debug_start_source_00108f08
0,bad_stab,print_bad_stab_00108fb9
0,warn_stab,print_warning_00108fe8
0,stab_find_slot,process_file_00109022
0,stab_bad_demangle,print_error_message_0010911f
0,debug_find_named_type,find_named_type_0010914e
0,savestring,copy_and_null_terminate_00109a0b
0,stab_pop_type,extract_and_free_ptr_00109b2f
0,stab_push_string,initialize_data_structure_00109b52
0,stab_class_end_method.lto_priv.0,append_semicolon_to_string_00109bbb
0,stab_demangle_remember_type,expand_and_store_data_00109be3
0,stab_get_struct_index,resize_array_00109c2e
0,stab_class_start_method.lto_priv.0,update_string_0010ab4d
0,stab_end_class_type.lto_priv.0,concatenate_strings_0010ae0e
0,string_hash_newfunc.lto_priv.0,create_hash_function_0010bb52
0,debug_set_filename,initialize_debug_info_0010bbd3
0,debug_record_parameter,record_parameter_0010bd62
0,debug_end_function,debug_end_function_0010be1a
0,debug_start_block,start_debug_block_0010be88
0,debug_end_block,debug_end_block_0010bf20
0,debug_record_line,record_debug_line_0010bf86
0,list_matching_formats,print_matching_formats_0011256b
0,bfd_get_archive_filename,get_formatted_string_001125fa
0,try_dir.lto_priv.0,check_directory_access_0011283f
0,start_stab.constprop.0,initialize_memory_00112894
0,debug_make_type.constprop.0,initialize_data_00112904
0,debug_add_to_namespace.constprop.0,initialize_memory_00112925
0,debug_get_type_name.constprop.0,extract_data_001129f4
0,create_symbol_htab,create_hash_table_00113f20
0,startswith.lto_priv.0.lto_priv.0,string_comparison_00113fb0
0,parse_flags,parse_section_flags_00113fe0
0,FUN_00114b84,FUNC_00114b84
0,template_in_dir,create_file_path_00114cf0
0,set_long_section_mode,FUNC_00114d50
0,endian_string,FUNC_00114e00
0,group_signature.isra.0,FUNC_00115d00
0,print_version,print_version_info_00119970
0,report,print_error_message_00119e70
0,bfd_nonfatal,print_error_message_0011a110
0,is_specified_symbol_predicate,match_pattern_0011a170
0,compare_gnu_build_notes,compare_memory_regions_0011a1b0
0,sort_gnu_build_notes,compare_records_0011a250
0,xatexit_cleanup.lto_priv.0,execute_function_chain_0011a390
0,xstrndup,copy_string_0011a480
1,do_display_target.cold,print_error_and_close_001053d5
1,mark_symbols_used_in_relocations.cold,handle_error_001083b7
1,copy_usage,print_usage_00108916
1,strip_usage,print_usage_00108a2a
1,convert_efi_target,parse_driver_info_00108c86
1,parse_number,parse_numeric_string_00109a32
1,stab_push_defined_type,initialize_data_structure_00109cf4
1,stab_complex_type.lto_priv.0,FUNC_00109e76
1,stab_range_type.lto_priv.0,process_request_0010a0e9
1,stab_array_type.lto_priv.0,process_data_0010a181
1,stab_set_type.lto_priv.0,process_data_0010a2b9
1,stab_offset_type.lto_priv.0,process_data_0010a377
1,stab_start_struct_type.lto_priv.0,initialize_data_structure_0010a69a
1,stab_end_struct_type.lto_priv.0,process_data_0010a77a
1,stab_class_static_member.lto_priv.0,format_and_store_data_0010a94e
1,stab_class_baseclass.lto_priv.0,process_data_0010aa53
1,stab_class_method_var,process_data_0010abdd
1,debug_record_function,debug_record_function_0010bc80
1,debug_record_variable,record_variable_0010c05d
1,debug_name_type,initialize_debug_name_type_0010c218
1,debug_tag_type,debug_tag_type_0010c6be
1,bfd_nonfatal_message,print_error_message_001126c0
1,debug_add_to_current_namespace.constprop.0,initialize_memory_00112996
1,debug_make_volatile_type.isra.0,initialize_data_00113b4a
1,debug_make_const_type.isra.0,initialize_data_00113b71
1,debug_make_method_type.isra.0,initialize_data_00113b98
1,debug_make_offset_type.isra.0,initialize_and_store_data_00113bfa
1,debug_make_array_type.isra.0,initialize_and_store_data_00113c43
1,debug_make_reference_type.isra.0,initialize_data_00113cb9
1,debug_make_function_type.isra.0,initialize_and_allocate_data_00113ce0
1,debug_make_pointer_type.isra.0,initialize_or_get_data_00113d3a
1,debug_make_enum_type.isra.0,initialize_and_store_data_00113d6e
1,debug_make_struct_type.isra.0,initialize_data_00113da9
1,debug_make_float_type.isra.0,initialize_data_00113df2
1,debug_make_int_type.isra.0,update_data_00113dfe
1,debug_make_void_type.isra.0,initialize_data_00113e17
1,debug_make_indirect_type.isra.0,initialize_and_store_data_00113e23
1,is_dwo_section.constprop.0,check_string_length_00113ede
1,simple_copy,copy_file_00115a90
1,is_specified_symbol,check_pattern_00115d70
1,mark_symbols_used_in_relocations,process_relocation_00116030
1,FUN_00116852,process_records_00116852
1,fatal,print_error_and_exit_00119dd0
1,non_fatal,print_error_message_00119ed0
1,do_display_target,process_binary_00119f70
1,make_tempdir,create_temp_directory_0011a0e0
2,parse_vma.cold,print_error_and_exit_00104920
2,get_file_size.cold,handle_file_error_00104966
2,parse_flags.cold,parse_section_flags_00104ad6
2,FUN_00104cc1,process_lines_00104cc1
2,copy_file.cold,initialize_and_print_error_message_00104d25
2,init_section_add.cold,print_error_message_001053b5
2,section_add_load_file.cold,print_error_and_exit_0010543c
2,FUN_00105828,recognize_input_format_00105828
2,FUN_0010808f,copy_private_data_0010808f
2,is_strip_section_1.isra.0.cold,print_error_and_exit_0010827b
2,FUN_001082b3,calculate_flipped_value_001082b3
2,copy_relocations_in_section.cold,process_data_001082df
2,check_new_section_flags.cold,drop_share_flag_if_not_coff_00108375
2,copy_section.cold,print_error_and_exit_001083de
2,FUN_00108466,print_error_and_free_00108466
2,create_new_symbol.cold,print_error_if_section_not_found_00108808
2,set_times.cold,print_error_message_0010882c
2,add_redefine_and_check,check_symbol_redefinition_00108d9a
2,parse_stab_type_number,parse_function_arguments_00109ab1
2,stab_bool_type.lto_priv.0,initialize_data_structure_00109d3e
2,stab_tag_type.lto_priv.0,initialize_data_structure_00109d5c
2,stab_empty_type.lto_priv.0,initialize_or_increment_data_structure_00109d97
2,stab_void_type.lto_priv.0,initialize_or_increment_00109dfe
2,stab_modify_type,process_data_00109ed3
2,stab_start_class_type.lto_priv.0,process_data_0010a83e
2,stab_class_method_variant.lto_priv.0,process_data_0010add5
2,stab_class_static_method_variant.lto_priv.0,process_data_0010adf2
2,stab_find_tagged_type,find_string_in_data_0010afd5
