layer,original,predicted
0,FUN_00102020,execute_indirect_jump_00102020
0,print_sizes.cold,print_ex_string_0010259c
0,sysv_internal_sizer.cold,initialize_data_001026ea
0,size_number.cold,print_formatted_number_001026f6
0,rprint_number.cold,print_formatted_hex_value_00102710
0,bfd_nonfatal.cold,print_error_message_0010274b
0,list_matching_formats,print_matching_formats_0010278c
0,usage,display_binary_sections_sizes_0010281b
0,berkeley_or_gnu_sum,update_data_based_on_flags_00102d70
0,size_number,format_and_print_number_00102e50
0,rprint_number,print_formatted_number_00102e90
0,report,print_error_message_00102ee0
0,sysv_internal_sizer,update_data_if_valid_00103c50
0,bfd_nonfatal,print_bfd_error_message_00103d20
1,fatal,print_formatted_error_message_00102db0
1,non_fatal,print_error_message_00102f40
1,sysv_one_line,print_formatted_numbers_with_padding_00102fe0
2,display_file.cold,print_file_error_message_00102360
2,sysv_internal_printer,process_data_and_print_00103cc0
3,print_sizes,print_executable_section_info_00102a90
4,display_bfd.cold,handle_bfd_format_error_001024d2
4,display_bfd,check_and_print_bfd_format_info_00102a40
5,FUN_001023b6,process_archived_files_001023b6
6,display_file,check_file_info_00102980
7,main,read_and_process_files_00103130
